c1,c2,stim,nparses,ratingcmp,ratingC1,ratingC2,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
gad,about,gadabout,1,24.25,36.541668,44.541668,11.6,0.13692797,0.669906871,0
knock,about,knockabout,1,41.46154,52.76923,38.96154,9.21,-0.172326923,-0.378298429,0
race,about,raceabout,1,44.16,73.959999,40.200001,12.8,1.8746488,2.165117632,0
roust,about,roustabout,1,28.571428,48.17857,47.392857,12.5,0.709126951,0.623558277,0
lay,about,layabout,1,49.692307,52.076923,43.884617,9.16,-0.33994601,-0.379975906,0
roust,abouts,roustabouts,1,30.037037,37.296295,48.148148,12.5,0.709126951,0.623558277,0
wise,acre,wiseacre,1,26.153847,39.53846,37,12.8,1.8746488,2.165117632,0
wise,acres,wiseacres,1,40.458332,42.25,55.5,12.8,1.8746488,2.165117632,0
hold,all,holdall,1,48.400002,62.360001,65.32,11.6,0.13692797,0.669906871,0
may,apple,mayapple,1,35.799999,37.916668,73.75,9.16,-0.33994601,-0.379975906,0
pine,apple,pineapple,1,34.358974,18.948717,23.97436,12.8,1.8746488,2.165117632,0
pine,apples,pineapples,1,24.285715,20.75,17.464285,12.8,1.8746488,2.165117632,0
yard,arm,yardarm,1,34.416668,54.042553,45.553192,11.6,0.13692797,0.669906871,0
fire,arm,firearm,1,41.756756,47.351353,26.027027,12.8,1.8746488,2.165117632,0
yard,arms,yardarms,1,43.375,60.708332,41.333332,11.6,0.13692797,0.669906871,0
pot,ash,potash,1,34.224998,39.650002,50.474998,12.5,0.709126951,0.623558277,0
jack,ass,jackass,1,44.333332,23.066668,68.23333,9.21,-0.172326923,-0.378298429,0
jack,asses,jackasses,1,42.285713,17.178572,43.285713,9.21,-0.172326923,-0.378298429,0
brad,awl,bradawl,1,16.481482,33.444443,32.296295,11.6,0.13692797,0.669906871,0
brad,awls,bradawls,1,21.612904,24,31.774193,11.6,0.13692797,0.669906871,0
pole,axe,poleaxe,1,43.166668,58.75,75.125,12.8,1.8746488,2.165117632,0
pole,axes,poleaxes,1,47.583332,54.5,59.416668,12.8,1.8746488,2.165117632,0
razor,back,razorback,1,43.685715,40.970589,54.176472,9.63,-0.346074991,-0.378024861,0
die,back,dieback,1,36.483871,42.967743,56.677418,10.2,-0.311252275,-0.34153833,0
crook,back,crookback,1,38.148148,56,53,6.78,-0.376818783,-0.400374046,0
canvas,back,canvasback,1,36.392857,62.607143,55.25,8.59,-0.356676664,-0.378338393,0
feed,back,feedback,1,49.025642,31.897436,48.307693,7.33,-0.364368351,-0.395126906,0
full,back,fullback,1,39.473682,41.763157,46.026318,8.6,-0.36915888,-0.394313761,0
half,back,halfback,1,36.704544,45.909092,46.75,4.32,-0.377952406,-0.401414726,0
grey,back,greyback,1,43.296295,51.615383,48.653847,8.22,-0.240416714,-0.333869389,0
green,back,greenback,1,36.075001,44.674999,45.724998,8.42,-0.370885802,-0.395060031,0
fat,back,fatback,1,48.1875,58.520832,64.354164,8.43,-0.368585006,-0.373494219,0
touch,back,touchback,1,49.5,57.708332,61.083332,8.2,-0.368110014,-0.390390487,0
corner,back,cornerback,1,49.814816,53.962963,46.629631,9.63,-0.346074991,-0.378024861,0
draw,back,drawback,1,43.924999,31.025,58.799999,6.89,-0.373488544,-0.392107012,0
