c1,c2,stim,nparses,ratingcmp,ratingC1,ratingC2,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
turn,about,turnabout,1,72.551727,82.413795,54.862068,12,0.209589336,-0.018790766,1
walk,about,walkabout,1,68.28125,87.90625,56.875,9.21,-0.172326923,-0.378298429,1
run,about,runabout,1,69.689651,79.035713,61.392857,12,0.209589336,-0.018790766,1
round,about,roundabout,1,63.1875,75.375,41.65625,11.6,0.13692797,0.669906871,1
walk,abouts,walkabouts,1,59.285713,83.428574,58.32143,9.21,-0.172326923,-0.378298429,1
run,abouts,runabouts,1,62.592594,63.592594,53,12,0.209589336,-0.018790766,1
turn,abouts,turnabouts,1,67.258064,81.419357,47.290321,12,0.209589336,-0.018790766,1
round,abouts,roundabouts,1,63.25,80.464287,57.142857,11.6,0.13692797,0.669906871,1
where,abouts,whereabouts,1,75.964287,81.714287,56.892857,12.8,1.8746488,2.165117632,1
head,ache,headache,1,93.578949,92.184212,93.5,11.6,0.13692797,0.669906871,1
belly,ache,bellyache,1,92.875,91.95652,92.695656,9.16,-0.33994601,-0.379975906,1
heart,ache,heartache,1,75.435898,70.974358,75.589745,12.5,0.709126951,0.623558277,1
ear,ache,earache,1,82.540543,88.837837,86.62162,12.8,0.440467071,0.479826003,1
back,ache,backache,1,88.205132,84.615387,89.53846,9.21,-0.172326923,-0.378298429,1
stomach,ache,stomachache,1,94.459457,89.75676,93.972977,13.1,3.625109648,2.840263764,1
tooth,ache,toothache,1,89.769234,86.179489,89.589745,13.1,3.625109648,2.840263764,1
head,aches,headaches,1,93.5,91.833336,95.400002,11.6,0.13692797,0.669906871,1
heart,aches,heartaches,1,84.080002,86.440002,83.919998,12.5,0.709126951,0.623558277,1
belly,aches,bellyaches,1,92.760002,89.480003,91.480003,9.16,-0.33994601,-0.379975906,1
ear,aches,earaches,1,91.148148,88.703705,92.037041,12.8,0.440467071,0.479826003,1
stomach,aches,stomachaches,1,96.839996,92.879997,94.959999,13.1,3.625109648,2.840263764,1
tooth,aches,toothaches,1,95.39286,96.35714,94.785713,13.1,3.625109648,2.840263764,1
back,aches,backaches,1,94.666664,80,91.166664,9.21,-0.172326923,-0.378298429,1
play,acting,playacting,1,71.480003,76.879997,85.519997,9.16,-0.33994601,-0.379975906,1
play,actor,playactor,1,74.916664,79.541664,89.916664,9.16,-0.33994601,-0.379975906,1
